price,bedrooms,sqft_living,floors,waterfront,view,condition,grade,basement,yr_built,renovated,lat,long,sqft_living15,month,city_Bellevue,city_Black Diamond,city_Bothell,city_Carnation,city_Duvall,city_Enumclaw,city_Fall City,city_Federal Way,city_Issaquah,city_Kenmore,city_Kent,city_Kirkland,city_Maple Valley,city_Medina,city_Mercer Island,city_North Bend,city_Redmond,city_Renton,city_Sammamish,city_Seattle,city_Snoqualmie,city_Vashon,city_Woodinville,bath_1,bath_2,bath_3,bath_4,bath_5
221900.0,3,1180,1.0,0.0,0.0,3,7,0,1955,0,47.5112,-122.257,1340,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
538000.0,3,2570,2.0,0.0,0.0,3,7,1,1951,1,47.721,-122.319,1690,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
180000.0,2,770,1.0,0.0,0.0,3,6,0,1933,0,47.7379,-122.233,2720,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604000.0,4,1960,1.0,0.0,0.0,5,7,1,1965,0,47.5208,-122.393,1360,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
510000.0,3,1680,1.0,0.0,0.0,3,8,0,1987,0,47.6168,-122.045,1800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1230000.0,4,5420,1.0,0.0,0.0,3,11,1,2001,0,47.6561,-122.005,4760,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
257500.0,3,1715,2.0,0.0,0.0,3,7,0,1995,0,47.3097,-122.327,2238,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
291850.0,3,1060,1.0,0.0,0.0,3,7,0,1963,0,47.4095,-122.315,1650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
229500.0,3,1780,1.0,0.0,0.0,3,7,1,1960,0,47.5123,-122.337,1780,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
323000.0,3,1890,2.0,0.0,0.0,3,7,0,2003,0,47.3684,-122.031,2390,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
662500.0,3,3560,1.0,0.0,0.0,3,8,1,1965,0,47.6007,-122.145,2210,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
468000.0,2,1160,1.0,0.0,0.0,4,7,1,1942,0,47.69,-122.292,1330,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
310000.0,3,1430,1.5,0.0,0.0,4,7,0,1927,0,47.7558,-122.229,1780,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000.0,3,1370,1.0,0.0,0.0,4,7,0,1977,0,47.6127,-122.045,1370,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
530000.0,5,1810,1.5,0.0,0.0,3,7,0,1900,0,47.67,-122.394,1360,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
650000.0,4,2950,2.0,0.0,3.0,3,9,1,1979,0,47.5714,-122.375,2140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
395000.0,3,1890,2.0,0.0,0.0,3,7,0,1994,0,47.7277,-121.962,1890,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
485000.0,4,1600,1.5,0.0,0.0,4,7,0,1916,0,47.6648,-122.343,1610,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189000.0,2,1200,1.0,0.0,0.0,4,7,0,1921,0,47.3089,-122.21,1060,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000.0,3,1250,1.0,0.0,0.0,4,7,0,1969,0,47.3343,-122.306,1280,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385000.0,4,1620,1.0,0.0,0.0,4,7,1,1947,0,47.7025,-122.341,1400,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2000000.0,3,3050,1.0,0.0,4.0,3,9,1,1968,0,47.5316,-122.233,4110,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
285000.0,5,2270,2.0,0.0,0.0,3,8,0,1995,0,47.3266,-122.169,2240,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
252700.0,2,1070,1.0,0.0,0.0,3,7,0,1985,0,47.3533,-122.166,1220,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
329000.0,3,2450,2.0,0.0,0.0,4,8,0,1985,0,47.3739,-122.172,2200,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233000.0,3,1710,1.5,0.0,0.0,5,6,0,1941,0,47.3048,-122.218,1030,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
937000.0,3,2450,2.0,0.0,0.0,3,8,1,1915,0,47.6386,-122.36,1760,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
667000.0,3,1400,1.5,0.0,0.0,5,8,0,1909,0,47.6221,-122.314,1860,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
438000.0,3,1520,1.0,0.0,0.0,3,7,1,1948,0,47.695,-122.304,1520,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
719000.0,4,2570,2.0,0.0,0.0,3,8,0,2005,0,47.7073,-122.11,2630,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
